date,region,Fine dust 1 hour (ã/ã¥),Fine dust 24 hour (ã/ã¥),Ultra fine dust(ã/ã¥),Ozon(ppm),NO2(ppm),CO(ppm),SO2(ppm)
201910312300,종로구,144,113,42,0.024,0.038,0.6,0.004
201910312300,용산구,144,114,39,0.035,0.042,0.6,0.004
201910312300,중구,134,106,41,0.026,0.044,0.6,0.004
201910312300,은평구,174,125,55,0.044,0.037,1.0,0.005
201910312300,서대문구,0,0,44,0.033,0.035,1.0,0.004
201910312300,마포구,157,127,46,0.026,0.047,0.6,0.004
201910312300,광진구,145,138,38,0.028,0.03,0.7,0.003
201910312300,노원구,141,97,53,0.021,0.026,0.8,0.004
201910312300,중랑구,159,132,34,0.023,0.041,0.7,0.003
201910312300,도봉구,176,121,54,0.066,0.017,0.7,0.003
201910312300,성북구,189,151,44,0.027,0.043,0.9,0.002
201910312300,성동구,146,116,36,0.04,0.038,0.6,0.002
201910312300,강북구,238,164,75,0.05,0.02,0.6,0.003
201910312300,동대문구,158,122,36,0.042,0.029,0.6,0.003
201910312300,동작구,163,125,40,0.037,0.019,0.5,0.003
201910312300,영등포구,127,116,0,0.031,0.036,0.6,0.001
201910312300,강서구,221,149,55,0.049,0.03,0.7,0.005
201910312300,관악구,149,127,36,0.018,0.021,0.6,0.003
201910312300,양천구,171,142,45,0.026,0.048,0.6,0.007
201910312300,구로구,122,108,49,0.036,0.033,0.4,0.004
201910312300,금천구,114,95,40,0.033,0.027,0.5,0.003
201910312300,강남구,128,122,32,0.037,0.035,0.6,0.003
201910312300,서초구,175,144,49,0.05,0.027,0.4,0.003
201910312300,강동구,173,136,43,0.034,0.033,0.6,0.003
201910312300,송파구,110,101,33,0.033,0.032,0.5,0.003
201910312200,용산구,139,108,38,0.034,0.04,0.6,0.004
201910312200,중구,149,101,42,0.024,0.052,0.7,0.004
201910312200,종로구,159,107,43,0.024,0.039,0.7,0.004
201910312200,서대문구,0,0,47,0.04,0.032,1.0,0.005
201910312200,마포구,179,120,48,0.039,0.039,0.6,0.004
201910312200,은평구,145,119,49,0.018,0.052,1.0,0.004
201910312200,성북구,209,143,48,0.03,0.046,0.9,0.003
201910312200,강북구,230,153,67,0.046,0.023,0.6,0.003
201910312200,도봉구,166,113,50,0.057,0.021,0.7,0.003
201910312200,광진구,155,138,41,0.036,0.025,0.7,0.003
201910312200,노원구,135,90,49,0.037,0.019,0.7,0.004
201910312200,성동구,140,112,39,0.043,0.036,0.6,0.003
201910312200,중랑구,180,127,37,0.031,0.041,0.7,0.003
201910312200,동대문구,156,116,35,0.039,0.031,0.6,0.003
201910312200,강서구,212,137,54,0.045,0.035,0.6,0.005
201910312200,동작구,147,120,39,0.036,0.019,0.5,0.003
201910312200,영등포구,137,116,41,0.039,0.032,0.9,0.001
201910312200,구로구,133,106,50,0.045,0.029,0.4,0.005
201910312200,금천구,110,94,40,0.034,0.026,0.5,0.003
201910312200,양천구,196,137,48,0.043,0.039,0.6,0.007
201910312200,관악구,146,130,37,0.02,0.021,0.6,0.003
201910312200,강남구,144,122,36,0.036,0.033,0.6,0.003
201910312200,강동구,169,132,44,0.037,0.033,0.6,0.003
201910312200,서초구,173,140,46,0.057,0.02,0.4,0.004
201910312200,송파구,121,101,38,0.041,0.027,0.6,0.003
201910312100,종로구,159,103,47,0.033,0.033,0.7,0.003
201910312100,용산구,165,108,42,0.041,0.039,0.5,0.004
201910312100,중구,153,99,39,0.042,0.037,0.7,0.004
201910312100,은평구,161,116,48,0.028,0.052,1.0,0.005
201910312100,서대문구,0,104,44,0.044,0.031,1.0,0.005
201910312100,마포구,184,117,47,0.047,0.039,0.7,0.003
201910312100,중랑구,191,125,38,0.044,0.032,0.7,0.004
201910312100,동대문구,177,115,38,0.047,0.029,0.6,0.003
201910312100,성동구,155,107,41,0.053,0.031,0.6,0.003
201910312100,노원구,130,83,45,0.04,0.017,0.7,0.004
201910312100,도봉구,156,106,45,0.057,0.02,0.7,0.003
201910312100,성북구,192,132,39,0.042,0.036,0.9,0.003
201910312100,광진구,175,137,44,0.043,0.025,0.7,0.003
201910312100,강북구,219,148,67,0.045,0.024,0.6,0.003
201910312100,금천구,117,92,45,0.027,0.035,0.5,0.004
201910312100,영등포구,180,116,69,0.041,0.035,1.2,0.001
201910312100,강서구,202,132,53,0.042,0.039,0.6,0.004
201910312100,관악구,174,126,51,0.016,0.02,0.6,0.003
201910312100,구로구,147,101,54,0.05,0.029,0.4,0.005
201910312100,동작구,158,116,45,0.036,0.02,0.5,0.004
201910312100,양천구,203,129,46,0.058,0.039,0.7,0.008
201910312100,강남구,176,119,42,0.052,0.028,0.6,0.004
201910312100,서초구,173,136,41,0.056,0.024,0.4,0.004
201910312100,송파구,123,98,36,0.041,0.029,0.6,0.003
201910312100,강동구,186,127,52,0.038,0.035,0.6,0.003
201910312000,중구,136,89,35,0.044,0.034,0.6,0.004
201910312000,용산구,157,98,41,0.047,0.039,0.6,0.004
201910312000,종로구,147,94,41,0.036,0.032,0.6,0.004
201910312000,마포구,159,107,41,0.049,0.036,0.6,0.004
201910312000,은평구,163,110,45,0.046,0.037,1.0,0.005
201910312000,서대문구,0,121,39,0.047,0.029,0.9,0.005
201910312000,성동구,162,104,39,0.054,0.034,0.6,0.003
201910312000,동대문구,162,104,33,0.055,0.023,0.6,0.003
201910312000,성북구,192,121,39,0.043,0.034,0.9,0.003
201910312000,강북구,208,141,61,0.043,0.024,0.6,0.003
201910312000,광진구,211,139,52,0.056,0.02,0.7,0.003
201910312000,도봉구,148,98,46,0.057,0.019,0.6,0.003
201910312000,노원구,118,80,42,0.039,0.018,0.7,0.005
201910312000,중랑구,176,113,35,0.043,0.035,0.7,0.004
201910312000,관악구,201,121,57,0.026,0.021,0.6,0.003
201910312000,금천구,144,97,49,0.033,0.038,0.6,0.003
201910312000,영등포구,171,109,69,0.044,0.035,0.8,0.001
201910312000,구로구,157,99,54,0.058,0.026,0.4,0.004
201910312000,동작구,175,116,46,0.038,0.025,0.5,0.003
201910312000,강서구,179,126,48,0.04,0.041,0.6,0.004
201910312000,양천구,184,125,41,0.06,0.036,0.6,0.007
201910312000,강동구,188,130,50,0.054,0.025,0.6,0.004
201910312000,강남구,181,121,40,0.064,0.023,0.6,0.004
201910312000,서초구,208,137,52,0.06,0.027,0.4,0.004
201910312000,송파구,149,99,44,0.05,0.027,0.6,0.003
201910311900,중구,127,85,34,0.046,0.03,0.5,0.004
201910311900,용산구,140,96,36,0.05,0.035,0.6,0.004
201910311900,종로구,131,89,37,0.035,0.034,0.7,0.004
201910311900,마포구,143,107,37,0.043,0.04,0.6,0.004
201910311900,서대문구,0,110,36,0.046,0.03,0.9,0.005
201910311900,은평구,161,116,43,0.049,0.036,0.9,0.005
201910311900,성북구,167,111,35,0.043,0.036,0.9,0.003
201910311900,성동구,146,95,32,0.054,0.033,0.5,0.003
201910311900,도봉구,147,98,42,0.057,0.019,0.6,0.003
201910311900,노원구,115,76,45,0.039,0.019,0.7,0.005
201910311900,중랑구,159,106,32,0.046,0.031,0.6,0.004
201910311900,동대문구,145,94,32,0.057,0.02,0.6,0.004
201910311900,강북구,205,125,61,0.045,0.023,0.6,0.003
201910311900,광진구,190,131,44,0.055,0.02,0.7,0.003
