date,region,Fine dust 1 hour (ã/ã¥),Fine dust 24 hour (ã/ã¥),Ultra fine dust(ã/ã¥),Ozon(ppm),NO2(ppm),CO(ppm),SO2(ppm)
201905312300,종로구,18,20,13,0.038,0.026,0.4,0.003
201905312300,용산구,15,16,8,0.045,0.024,0.3,0.003
201905312300,중구,15,17,12,0.044,0.027,0.4,0.003
201905312300,은평구,26,24,0,0.047,0.023,0.3,0.004
201905312300,서대문구,25,25,14,0.041,0.02,0.6,0.004
201905312300,마포구,22,26,17,0.046,0.015,0.3,0.004
201905312300,광진구,0,26,18,0.041,0.017,0.4,0.005
201905312300,노원구,16,21,10,0.047,0.013,0.3,0.004
201905312300,중랑구,15,17,15,0.041,0.021,0.3,0.005
201905312300,도봉구,16,21,8,0.056,0.007,0.2,0.004
201905312300,성북구,33,30,0,0.035,0.031,0.6,0.003
201905312300,성동구,18,23,14,0.052,0.019,0.3,0.003
201905312300,강북구,18,23,10,0.048,0.01,0.3,0.003
201905312300,동대문구,15,16,10,0.043,0.023,0.3,0.005
201905312300,동작구,20,20,12,0.04,0.02,0.3,0.003
201905312300,영등포구,22,29,14,0.039,0.016,0.2,0.002
201905312300,강서구,26,23,17,0.043,0.022,0.4,0.007
201905312300,관악구,32,33,21,0.045,0.021,0.3,0.004
201905312300,양천구,21,23,12,0.036,0.022,0.4,0.004
201905312300,구로구,21,22,15,0.042,0.017,0.2,0.004
201905312300,금천구,20,19,14,0.032,0.026,0.3,0.004
201905312300,강남구,14,16,9,0.042,0.015,0.2,0.005
201905312300,서초구,21,26,18,0.049,0.016,0.2,0.003
201905312300,강동구,20,21,8,0.037,0.02,0.3,0.004
201905312300,송파구,17,22,17,0.048,0.019,0.3,0.003
201905312200,용산구,16,17,9,0.05,0.022,0.3,0.003
201905312200,중구,16,17,10,0.049,0.025,0.3,0.003
201905312200,종로구,16,20,10,0.044,0.022,0.4,0.004
201905312200,서대문구,26,25,15,0.051,0.016,0.6,0.002
201905312200,마포구,25,27,18,0.047,0.018,0.3,0.004
201905312200,은평구,21,23,15,0.057,0.018,0.3,0.004
201905312200,성북구,22,31,8,0.047,0.021,0.6,0.003
201905312200,강북구,20,24,11,0.055,0.006,0.3,0.003
201905312200,도봉구,16,23,8,0.062,0.006,0.3,0.005
201905312200,광진구,0,26,19,0.045,0.016,0.5,0.005
201905312200,노원구,19,22,12,0.051,0.011,0.3,0.004
201905312200,성동구,23,24,11,0.055,0.02,0.3,0.003
201905312200,중랑구,15,17,12,0.049,0.016,0.3,0.004
201905312200,동대문구,18,17,11,0.049,0.021,0.3,0.003
201905312200,강서구,23,23,16,0.05,0.019,0.4,0.007
201905312200,동작구,20,20,10,0.043,0.019,0.3,0.003
201905312200,영등포구,23,30,20,0.042,0.016,0.4,0.003
201905312200,구로구,22,24,15,0.052,0.012,0.2,0.004
201905312200,금천구,21,19,14,0.04,0.022,0.3,0.003
201905312200,양천구,21,23,11,0.039,0.023,0.4,0.004
