date,region,Fine dust 1 hour (ã/ã¥),Fine dust 24 hour (ã/ã¥),Ultra fine dust(ã/ã¥),Ozon(ppm),NO2(ppm),CO(ppm),SO2(ppm)
201908312300,종로구,15,20,12,0.022,0.017,0.4,0.003
201908312300,용산구,15,16,12,0.016,0.025,0.4,0.003
201908312300,중구,14,20,9,0.028,0.021,0.0,0.003
201908312300,은평구,16,20,13,0.02,0.02,0.5,0.004
201908312300,서대문구,15,16,4,0.022,0.013,0.7,0.003
201908312300,마포구,13,16,0,0.024,0.015,0.4,0.004
201908312300,광진구,25,24,15,0.016,0.028,0.7,0.004
201908312300,노원구,16,19,14,0.016,0.024,0.5,0.003
201908312300,중랑구,13,14,6,0.027,0.014,0.3,0.006
201908312300,도봉구,9,11,6,0.035,0.009,0.4,0.004
201908312300,성북구,10,15,7,0.027,0.018,0.6,0.003
201908312300,성동구,21,23,10,0.015,0.039,0.5,0.003
201908312300,강북구,25,26,11,0.025,0.007,0.4,0.002
201908312300,동대문구,11,13,8,0.029,0.015,0.4,0.004
201908312300,동작구,20,20,11,0.022,0.016,0.3,0.002
201908312300,영등포구,0,31,0,0.017,0.038,0.6,0.003
201908312300,강서구,20,23,12,0.025,0.02,0.5,0.007
201908312300,관악구,0,0,0,0.025,0.022,0.4,0.004
201908312300,양천구,22,22,13,0.02,0.03,0.4,0.004
201908312300,구로구,18,18,6,0.019,0.02,0.3,0.005
201908312300,금천구,20,18,12,0.021,0.017,0.4,0.003
201908312300,강남구,0,0,0,0.0,0.0,0.0,0.0
201908312300,서초구,15,16,12,0.035,0.021,0.3,0.003
201908312300,강동구,20,21,14,0.02,0.035,0.5,0.003
201908312300,송파구,20,18,12,0.017,0.033,0.4,0.003
201908312200,용산구,17,17,12,0.015,0.035,0.4,0.003
201908312200,중구,15,21,8,0.031,0.02,0.0,0.003
201908312200,종로구,15,21,10,0.026,0.016,0.4,0.003
201908312200,서대문구,16,17,6,0.028,0.014,0.7,0.003
201908312200,마포구,19,18,9,0.023,0.018,0.4,0.004
201908312200,은평구,20,21,15,0.03,0.018,0.5,0.004
201908312200,성북구,10,15,6,0.032,0.018,0.6,0.003
201908312200,강북구,22,26,10,0.031,0.007,0.3,0.002
201908312200,도봉구,12,11,7,0.037,0.01,0.4,0.004
201908312200,광진구,23,25,16,0.022,0.026,0.6,0.004
201908312200,노원구,17,19,12,0.033,0.01,0.4,0.004
201908312200,성동구,16,24,11,0.02,0.031,0.4,0.003
201908312200,중랑구,13,15,7,0.032,0.013,0.4,0.006
201908312200,동대문구,9,14,7,0.032,0.015,0.3,0.003
201908312200,강서구,20,23,13,0.029,0.019,0.4,0.006
201908312200,동작구,20,20,11,0.026,0.016,0.3,0.003
201908312200,영등포구,43,30,0,0.023,0.033,0.5,0.003
201908312200,구로구,14,18,7,0.02,0.02,0.3,0.005
201908312200,금천구,19,18,14,0.017,0.028,0.5,0.003
201908312200,양천구,22,22,12,0.022,0.03,0.5,0.004
201908312200,관악구,0,0,0,0.027,0.022,0.4,0.004
201908312200,강남구,0,0,0,0.0,0.0,0.0,0.0
201908312200,강동구,23,21,16,0.025,0.033,0.5,0.003
201908312200,서초구,14,16,10,0.034,0.024,0.3,0.003
201908312200,송파구,0,17,16,0.022,0.03,0.5,0.003
201908312100,종로구,20,22,12,0.025,0.019,0.4,0.003
201908312100,용산구,16,17,10,0.019,0.037,0.4,0.004
201908312100,중구,22,21,11,0.032,0.02,0.0,0.003
201908312100,은평구,19,21,13,0.04,0.014,0.5,0.004
201908312100,서대문구,15,17,6,0.034,0.013,0.7,0.003
201908312100,마포구,18,18,10,0.026,0.017,0.4,0.004
201908312100,중랑구,14,14,12,0.028,0.018,0.4,0.005
201908312100,동대문구,10,14,8,0.031,0.017,0.3,0.004
201908312100,성동구,17,25,11,0.025,0.032,0.4,0.003
201908312100,노원구,20,19,14,0.032,0.013,0.4,0.004
201908312100,도봉구,13,11,6,0.037,0.011,0.4,0.004
201908312100,성북구,17,15,6,0.031,0.02,0.6,0.003
201908312100,광진구,21,24,14,0.027,0.025,0.6,0.004
201908312100,강북구,29,25,14,0.031,0.009,0.3,0.002
201908312100,금천구,22,17,15,0.019,0.03,0.5,0.003
201908312100,영등포구,29,26,0,0.03,0.026,0.5,0.003
201908312100,강서구,33,22,18,0.029,0.022,0.5,0.006
201908312100,관악구,0,0,0,0.03,0.021,0.5,0.004
201908312100,구로구,17,18,9,0.023,0.017,0.3,0.005
201908312100,동작구,18,20,10,0.028,0.017,0.3,0.003
201908312100,양천구,24,22,13,0.03,0.023,0.4,0.005
201908312100,강남구,0,0,0,0.0,0.0,0.0,0.0
201908312100,서초구,16,17,11,0.034,0.026,0.3,0.003
201908312100,송파구,15,18,9,0.028,0.026,0.5,0.003
201908312100,강동구,21,20,15,0.034,0.025,0.5,0.003
201908312000,중구,30,21,11,0.032,0.024,0.0,0.003
201908312000,용산구,15,17,13,0.03,0.031,0.4,0.004
201908312000,종로구,23,24,15,0.022,0.025,0.5,0.003
201908312000,마포구,17,18,0,0.029,0.017,0.4,0.005
201908312000,은평구,20,22,12,0.04,0.016,0.5,0.004
201908312000,서대문구,16,18,3,0.034,0.014,0.7,0.003
201908312000,성동구,21,27,8,0.03,0.032,0.4,0.003
201908312000,동대문구,16,16,13,0.029,0.024,0.3,0.003
201908312000,성북구,18,14,7,0.033,0.019,0.6,0.003
201908312000,강북구,34,25,13,0.031,0.01,0.4,0.002
201908312000,광진구,23,26,11,0.034,0.023,0.6,0.004
201908312000,도봉구,12,11,5,0.038,0.011,0.4,0.004
201908312000,노원구,23,20,16,0.032,0.016,0.4,0.004
201908312000,중랑구,18,14,14,0.024,0.026,0.4,0.006
201908312000,관악구,0,0,0,0.031,0.023,0.4,0.005
201908312000,금천구,17,16,12,0.024,0.024,0.4,0.004
201908312000,영등포구,40,24,0,0.034,0.028,0.5,0.003
201908312000,구로구,18,18,6,0.024,0.017,0.3,0.005
201908312000,동작구,16,20,11,0.03,0.018,0.3,0.003
201908312000,강서구,28,19,17,0.033,0.021,0.5,0.006
201908312000,양천구,24,21,15,0.031,0.025,0.4,0.004
201908312000,강동구,21,19,16,0.038,0.025,0.5,0.004
201908312000,강남구,0,0,0,0.0,0.0,0.0,0.0
201908312000,서초구,13,17,10,0.041,0.021,0.3,0.003
201908312000,송파구,16,18,9,0.033,0.024,0.4,0.004
201908311900,중구,20,19,9,0.043,0.016,0.0,0.003
201908311900,용산구,18,17,14,0.031,0.032,0.4,0.004
201908311900,종로구,19,24,14,0.028,0.023,0.5,0.003
201908311900,마포구,19,18,9,0.034,0.015,0.4,0.004
201908311900,서대문구,15,18,3,0.035,0.017,0.7,0.003
201908311900,은평구,21,21,10,0.042,0.017,0.5,0.004
201908311900,성북구,10,15,7,0.038,0.019,0.5,0.003
201908311900,성동구,23,29,12,0.03,0.034,0.4,0.003
201908311900,도봉구,8,11,5,0.043,0.011,0.4,0.003
201908311900,노원구,0,17,12,0.04,0.013,0.4,0.003
201908311900,중랑구,16,13,14,0.031,0.023,0.4,0.005
201908311900,동대문구,14,16,11,0.038,0.019,0.2,0.004
201908311900,강북구,26,22,15,0.034,0.009,0.4,0.002
201908311900,광진구,29,27,14,0.038,0.022,0.5,0.004
201908311900,영등포구,30,20,0,0.037,0.026,0.4,0.003
201908311900,동작구,18,21,10,0.032,0.016,0.3,0.003
201908311900,관악구,0,0,0,0.035,0.018,0.4,0.005
201908311900,금천구,18,16,9,0.03,0.02,0.4,0.004
201908311900,강서구,20,17,15,0.038,0.018,0.4,0.005
201908311900,양천구,21,20,12,0.032,0.026,0.4,0.005
201908311900,구로구,19,18,8,0.024,0.02,0.3,0.005
201908311900,서초구,15,18,11,0.042,0.022,0.3,0.003
201908311900,강남구,0,0,0,0.0,0.0,0.0,0.0
201908311900,강동구,20,19,15,0.045,0.021,0.4,0.003
201908311900,송파구,17,19,11,0.041,0.02,0.4,0.003
201908311800,종로구,25,25,11,0.039,0.013,0.4,0.003
201908311800,용산구,18,16,14,0.04,0.029,0.4,0.004
201908311800,중구,19,18,9,0.052,0.012,0.0,0.003
201908311800,서대문구,18,18,2,0.045,0.012,0.6,0.003
201908311800,마포구,16,17,8,0.037,0.014,0.4,0.004
201908311800,은평구,19,21,13,0.051,0.014,0.4,0.004
201908311800,동대문구,13,16,11,0.054,0.01,0.3,0.004
201908311800,중랑구,9,13,4,0.05,0.011,0.4,0.006
201908311800,성북구,9,16,6,0.046,0.015,0.5,0.003
201908311800,노원구,26,17,12,0.047,0.01,0.3,0.004
201908311800,광진구,18,27,13,0.047,0.021,0.5,0.004
201908311800,도봉구,10,12,4,0.051,0.01,0.3,0.003
201908311800,성동구,20,30,6,0.038,0.034,0.4,0.003
201908311800,강북구,18,19,12,0.04,0.007,0.3,0.002
201908311800,영등포구,17,18,10,0.042,0.026,0.4,0.004
201908311800,양천구,19,20,11,0.046,0.014,0.4,0.003
201908311800,금천구,14,15,8,0.035,0.014,0.3,0.003
201908311800,강서구,16,16,11,0.049,0.01,0.4,0.006
201908311800,관악구,0,0,0,0.041,0.013,0.3,0.004
201908311800,동작구,20,21,12,0.035,0.015,0.3,0.003
201908311800,구로구,15,19,8,0.028,0.015,0.3,0.005
201908311800,강동구,19,19,14,0.057,0.017,0.4,0.003
201908311800,송파구,21,20,6,0.048,0.017,0.4,0.003
201908311800,서초구,17,20,10,0.047,0.021,0.3,0.003
201908311800,강남구,0,0,0,0.0,0.0,0.0,0.0
201908311700,중구,21,19,7,0.055,0.01,0.0,0.002
201908311700,용산구,15,16,13,0.048,0.022,0.4,0.003
201908311700,종로구,37,24,11,0.041,0.013,0.4,0.003
201908311700,은평구,21,21,10,0.055,0.012,0.4,0.004
201908311700,마포구,18,18,9,0.042,0.014,0.4,0.004
201908311700,서대문구,16,18,3,0.051,0.011,0.6,0.002
201908311700,중랑구,9,14,7,0.055,0.011,0.3,0.005
201908311700,도봉구,10,11,5,0.056,0.008,0.3,0.004
201908311700,노원구,14,16,13,0.048,0.009,0.3,0.004
201908311700,강북구,0,20,14,0.043,0.007,0.3,0.002
201908311700,광진구,29,28,16,0.056,0.017,0.5,0.004
201908311700,성북구,13,17,9,0.051,0.014,0.5,0.003
201908311700,동대문구,20,17,9,0.057,0.009,0.2,0.004
201908311700,성동구,30,33,8,0.047,0.032,0.3,0.003
201908311700,구로구,18,19,8,0.03,0.014,0.3,0.005
201908311700,금천구,14,16,7,0.038,0.015,0.3,0.003
201908311700,영등포구,18,19,10,0.049,0.02,0.3,0.004
201908311700,동작구,22,22,10,0.042,0.013,0.3,0.003
201908311700,강서구,16,17,5,0.052,0.009,0.4,0.004
201908311700,양천구,21,20,10,0.049,0.013,0.3,0.003
201908311700,관악구,0,0,0,0.046,0.014,0.3,0.004
201908311700,강동구,15,19,13,0.063,0.016,0.4,0.003
201908311700,강남구,0,0,0,0.0,0.0,0.0,0.0
201908311700,서초구,17,20,13,0.053,0.022,0.3,0.003
201908311700,송파구,17,19,10,0.054,0.019,0.4,0.003
201908311600,종로구,27,21,12,0.041,0.014,0.4,0.003
201908311600,용산구,16,16,13,0.053,0.019,0.4,0.003
201908311600,중구,17,18,10,0.057,0.01,0.0,0.003
201908311600,은평구,20,22,12,0.055,0.012,0.4,0.004
201908311600,서대문구,14,19,5,0.053,0.006,0.6,0.002
201908311600,마포구,17,18,8,0.039,0.017,0.4,0.004
201908311600,광진구,27,27,16,0.061,0.017,0.5,0.003
201908311600,중랑구,14,15,11,0.061,0.009,0.4,0.006
201908311600,노원구,10,17,7,0.047,0.007,0.3,0.003
201908311600,성동구,39,33,12,0.051,0.032,0.3,0.003
201908311600,동대문구,15,16,12,0.057,0.012,0.3,0.004
201908311600,성북구,22,18,15,0.045,0.023,0.5,0.003
201908311600,도봉구,6,12,4,0.055,0.007,0.3,0.004
201908311600,강북구,0,21,12,0.042,0.011,0.4,0.002
201908311600,구로구,18,19,6,0.033,0.011,0.3,0.005
201908311600,영등포구,17,19,10,0.048,0.019,0.3,0.004
201908311600,금천구,13,16,8,0.042,0.014,0.3,0.003
201908311600,관악구,0,0,0,0.051,0.01,0.3,0.004
201908311600,동작구,19,22,11,0.043,0.012,0.3,0.003
201908311600,강서구,15,17,10,0.053,0.008,0.3,0.003
201908311600,양천구,19,20,13,0.05,0.013,0.3,0.004
201908311600,강동구,22,20,17,0.072,0.014,0.4,0.003
201908311600,강남구,0,0,0,0.0,0.0,0.0,0.0
201908311600,송파구,19,20,12,0.056,0.018,0.4,0.003
201908311600,서초구,19,20,12,0.06,0.016,0.3,0.003
201908311500,중구,19,19,13,0.061,0.01,0.0,0.003
201908311500,용산구,17,17,14,0.056,0.024,0.4,0.003
201908311500,종로구,22,20,16,0.044,0.014,0.4,0.003
201908311500,은평구,19,23,12,0.056,0.011,0.4,0.004
201908311500,서대문구,16,20,6,0.055,0.007,0.6,0.003
201908311500,마포구,15,18,6,0.045,0.013,0.4,0.004
201908311500,성북구,19,17,15,0.05,0.018,0.5,0.003
201908311500,노원구,15,19,10,0.047,0.007,0.3,0.003
201908311500,성동구,32,32,15,0.062,0.021,0.3,0.003
201908311500,도봉구,9,14,6,0.054,0.006,0.3,0.004
201908311500,강북구,18,21,8,0.041,0.008,0.3,0.002
201908311500,동대문구,16,16,15,0.058,0.012,0.3,0.004
201908311500,중랑구,13,15,8,0.063,0.01,0.3,0.005
201908311500,광진구,32,26,20,0.067,0.016,0.5,0.003
201908311500,관악구,0,0,0,0.051,0.011,0.3,0.004
201908311500,영등포구,16,19,10,0.049,0.023,0.3,0.004
201908311500,강서구,15,17,11,0.055,0.008,0.3,0.003
201908311500,금천구,17,17,11,0.043,0.012,0.3,0.003
201908311500,구로구,20,20,7,0.034,0.01,0.3,0.005
201908311500,양천구,20,20,14,0.054,0.01,0.3,0.004
201908311500,동작구,24,23,14,0.044,0.013,0.3,0.003
201908311500,강동구,20,20,15,0.076,0.014,0.4,0.003
201908311500,서초구,26,21,13,0.067,0.014,0.3,0.003
201908311500,송파구,23,20,10,0.056,0.022,0.4,0.003
201908311500,강남구,0,0,0,0.0,0.0,0.0,0.0
201908311400,중구,23,18,15,0.064,0.01,0.0,0.002
