date,region,Fine dust 1 hour (ã/ã¥),Fine dust 24 hour (ã/ã¥),Ultra fine dust(ã/ã¥),Ozon(ppm),NO2(ppm),CO(ppm),SO2(ppm)
201901312300,종로구,51,61,12,0.023,0.013,0.4,0.003
201901312300,용산구,44,55,9,0.016,0.021,0.4,0.003
201901312300,중구,56,64,13,0.026,0.014,0.4,0.003
201901312300,은평구,62,77,13,0.023,0.015,0.6,0.005
201901312300,서대문구,61,75,12,0.023,0.01,0.5,0.003
201901312300,마포구,52,76,12,0.018,0.015,0.3,0.002
201901312300,광진구,56,73,10,0.02,0.016,0.8,0.003
201901312300,노원구,55,63,14,0.02,0.014,0.4,0.005
201901312300,중랑구,53,59,14,0.017,0.021,0.4,0.007
201901312300,도봉구,47,69,13,0.027,0.009,1.0,0.004
201901312300,성북구,81,70,15,0.021,0.019,0.6,0.004
201901312300,성동구,66,81,20,0.024,0.015,0.4,0.003
201901312300,강북구,62,67,12,0.03,0.005,0.4,0.002
201901312300,동대문구,57,67,13,0.023,0.015,0.4,0.007
201901312300,동작구,55,65,16,0.019,0.024,0.4,0.003
201901312300,영등포구,56,75,15,0.015,0.019,0.4,0.005
201901312300,강서구,57,66,15,0.017,0.024,0.4,0.006
201901312300,관악구,53,73,13,0.019,0.023,0.3,0.004
201901312300,양천구,53,67,16,0.015,0.028,0.5,0.004
201901312300,구로구,47,70,5,0.019,0.019,0.2,0.006
201901312300,금천구,48,62,14,0.022,0.022,0.4,0.004
201901312300,강남구,49,61,13,0.017,0.018,0.4,0.005
201901312300,서초구,47,71,1,0.023,0.02,0.2,0.004
201901312300,강동구,55,64,15,0.016,0.023,0.4,0.003
201901312300,송파구,63,73,9,0.014,0.026,0.4,0.003
201901312200,용산구,47,57,10,0.017,0.02,0.4,0.003
201901312200,중구,58,66,14,0.019,0.023,0.4,0.003
201901312200,종로구,59,64,14,0.021,0.016,0.5,0.004
201901312200,서대문구,65,78,18,0.02,0.014,0.6,0.003
201901312200,마포구,70,81,13,0.019,0.014,0.4,0.002
201901312200,은평구,68,82,15,0.022,0.017,0.6,0.006
201901312200,성북구,78,69,12,0.021,0.02,0.6,0.004
201901312200,강북구,73,67,14,0.031,0.005,0.4,0.003
201901312200,도봉구,69,72,11,0.028,0.008,0.8,0.004
201901312200,광진구,70,75,11,0.019,0.02,0.9,0.003
201901312200,노원구,68,64,16,0.02,0.014,0.4,0.006
201901312200,성동구,85,87,18,0.021,0.02,0.4,0.003
201901312200,중랑구,59,60,17,0.018,0.021,0.4,0.007
201901312200,동대문구,64,67,14,0.023,0.014,0.5,0.008
201901312200,강서구,63,67,15,0.013,0.03,0.4,0.007
201901312200,동작구,60,67,15,0.017,0.026,0.4,0.004
201901312200,영등포구,67,78,17,0.011,0.023,0.4,0.005
201901312200,구로구,64,75,7,0.019,0.018,0.3,0.006
201901312200,금천구,56,63,16,0.019,0.023,0.4,0.004
201901312200,양천구,61,69,16,0.014,0.029,0.5,0.003
201901312200,관악구,81,78,0,0.017,0.025,0.4,0.005
201901312200,강남구,57,63,15,0.014,0.022,0.4,0.006
201901312200,강동구,62,66,16,0.015,0.025,0.4,0.004
201901312200,서초구,67,74,1,0.026,0.016,0.2,0.004
201901312200,송파구,65,73,11,0.012,0.03,0.5,0.003
201901312100,종로구,66,63,16,0.016,0.022,0.5,0.003
201901312100,용산구,56,58,13,0.012,0.027,0.4,0.003
201901312100,중구,68,66,15,0.018,0.023,0.4,0.003
201901312100,은평구,82,83,16,0.02,0.02,0.6,0.005
201901312100,서대문구,79,79,17,0.013,0.023,0.6,0.003
201901312100,마포구,69,82,13,0.017,0.016,0.4,0.002
201901312100,중랑구,65,61,19,0.012,0.026,0.5,0.007
201901312100,동대문구,77,66,16,0.02,0.017,0.4,0.008
201901312100,성동구,86,82,18,0.012,0.03,0.4,0.003
201901312100,노원구,75,62,22,0.016,0.02,0.5,0.006
201901312100,도봉구,83,70,14,0.026,0.01,0.8,0.004
201901312100,성북구,85,68,23,0.018,0.025,0.6,0.004
201901312100,광진구,79,74,17,0.012,0.028,0.9,0.003
201901312100,강북구,81,67,16,0.028,0.009,0.4,0.003
201901312100,금천구,64,64,18,0.017,0.026,0.4,0.004
201901312100,영등포구,74,78,18,0.012,0.03,0.5,0.005
201901312100,강서구,72,67,16,0.009,0.034,0.4,0.007
201901312100,관악구,79,78,17,0.016,0.027,0.4,0.005
201901312100,구로구,68,77,10,0.017,0.022,0.3,0.007
201901312100,동작구,69,66,19,0.016,0.028,0.4,0.004
201901312100,양천구,69,68,17,0.011,0.034,0.5,0.005
201901312100,강남구,68,64,18,0.012,0.025,0.5,0.005
201901312100,서초구,67,74,0,0.021,0.022,0.2,0.004
201901312100,송파구,76,72,12,0.01,0.033,0.5,0.003
201901312100,강동구,76,65,19,0.011,0.03,0.5,0.005
201901312000,중구,69,64,16,0.012,0.03,0.5,0.003
201901312000,용산구,59,59,13,0.006,0.038,0.5,0.003
201901312000,종로구,72,59,18,0.013,0.027,0.6,0.004
201901312000,마포구,88,81,14,0.016,0.017,0.4,0.003
201901312000,은평구,89,80,16,0.017,0.023,0.6,0.005
201901312000,서대문구,88,77,13,0.013,0.022,0.6,0.003
201901312000,성동구,101,82,16,0.009,0.032,0.5,0.003
201901312000,동대문구,76,66,17,0.018,0.02,0.5,0.009
201901312000,성북구,81,68,13,0.015,0.029,0.6,0.004
201901312000,강북구,81,66,17,0.026,0.011,0.4,0.004
201901312000,광진구,90,74,17,0.008,0.034,1.0,0.004
201901312000,도봉구,96,68,18,0.023,0.014,0.6,0.005
201901312000,노원구,70,61,17,0.015,0.022,0.5,0.006
201901312000,중랑구,60,60,17,0.01,0.027,0.5,0.007
201901312000,관악구,92,76,26,0.016,0.027,0.4,0.005
201901312000,금천구,69,64,18,0.017,0.026,0.4,0.005
201901312000,영등포구,90,76,29,0.015,0.02,0.5,0.005
201901312000,구로구,82,76,10,0.017,0.021,0.3,0.006
201901312000,동작구,73,64,19,0.014,0.031,0.4,0.004
201901312000,강서구,77,67,16,0.012,0.032,0.5,0.006
201901312000,양천구,80,66,18,0.013,0.031,0.5,0.004
201901312000,강동구,69,64,18,0.009,0.034,0.5,0.004
201901312000,강남구,70,62,20,0.008,0.031,0.5,0.005
201901312000,서초구,90,73,9,0.019,0.023,0.2,0.005
201901312000,송파구,88,73,13,0.007,0.037,0.6,0.003
201901311900,중구,64,61,15,0.018,0.025,0.5,0.004
201901311900,용산구,55,59,14,0.011,0.029,0.5,0.004
201901311900,종로구,67,58,15,0.016,0.023,0.5,0.004
201901311900,마포구,101,81,18,0.012,0.02,0.4,0.003
201901311900,서대문구,82,77,16,0.017,0.019,0.6,0.003
201901311900,은평구,89,81,16,0.019,0.022,0.6,0.006
201901311900,성북구,80,67,15,0.017,0.026,0.6,0.004
201901311900,성동구,87,83,19,0.009,0.034,0.4,0.003
201901311900,도봉구,81,64,17,0.024,0.014,0.7,0.005
201901311900,노원구,74,61,19,0.016,0.021,0.5,0.006
201901311900,중랑구,59,60,18,0.014,0.024,0.5,0.006
201901311900,동대문구,70,66,17,0.016,0.023,0.4,0.008
201901311900,강북구,77,65,18,0.028,0.011,0.4,0.004
201901311900,광진구,71,74,14,0.015,0.025,0.9,0.004
201901311900,영등포구,97,74,27,0.015,0.02,0.5,0.004
201901311900,동작구,67,63,19,0.018,0.027,0.4,0.004
201901311900,관악구,85,75,17,0.016,0.026,0.4,0.005
201901311900,금천구,70,63,19,0.017,0.027,0.4,0.004
201901311900,강서구,81,66,18,0.019,0.022,0.4,0.005
