date,region,Fine dust 1 hour (ã/ã¥),Fine dust 24 hour (ã/ã¥),Ultra fine dust(ã/ã¥),Ozon(ppm),NO2(ppm),CO(ppm),SO2(ppm)
201907312300,종로구,25,23,17,0.017,0.019,0.3,0.004
201907312300,용산구,24,24,17,0.014,0.024,0.3,0.003
201907312300,중구,29,26,18,0.018,0.019,0.0,0.002
201907312300,은평구,25,23,17,0.017,0.019,0.5,0.004
201907312300,서대문구,19,20,9,0.019,0.011,0.6,0.003
201907312300,마포구,16,18,12,0.021,0.013,0.6,0.004
201907312300,광진구,18,17,17,0.017,0.016,0.7,0.005
201907312300,노원구,29,17,18,0.018,0.015,0.3,0.003
201907312300,중랑구,24,17,15,0.012,0.019,0.3,0.007
201907312300,도봉구,17,14,10,0.022,0.009,0.3,0.003
201907312300,성북구,23,20,4,0.017,0.021,0.6,0.003
201907312300,성동구,14,18,6,0.016,0.024,0.3,0.003
201907312300,강북구,31,23,18,0.025,0.012,0.3,0.002
201907312300,동대문구,19,19,15,0.022,0.012,0.0,0.005
201907312300,동작구,27,27,17,0.023,0.013,0.2,0.002
201907312300,영등포구,15,20,11,0.015,0.019,0.4,0.002
201907312300,강서구,25,23,17,0.02,0.014,0.3,0.003
201907312300,관악구,19,22,12,0.014,0.022,0.2,0.004
201907312300,양천구,29,29,19,0.012,0.018,0.2,0.003
201907312300,구로구,19,19,12,0.023,0.014,0.2,0.004
201907312300,금천구,26,25,16,0.011,0.023,0.3,0.003
201907312300,강남구,26,25,15,0.02,0.013,0.3,0.004
201907312300,서초구,15,17,0,0.0,0.016,0.2,0.004
201907312300,강동구,24,19,13,0.015,0.014,0.2,0.003
201907312300,송파구,14,14,8,0.017,0.019,0.2,0.002
201907312200,용산구,26,20,19,0.013,0.025,0.3,0.002
201907312200,중구,30,24,16,0.018,0.02,0.0,0.002
201907312200,종로구,25,22,16,0.015,0.021,0.3,0.003
201907312200,서대문구,23,20,8,0.019,0.012,0.6,0.003
201907312200,마포구,20,19,0,0.023,0.011,0.6,0.004
201907312200,은평구,27,23,16,0.013,0.022,0.5,0.004
201907312200,성북구,23,18,2,0.017,0.02,0.6,0.003
201907312200,강북구,33,20,20,0.023,0.015,0.3,0.003
201907312200,도봉구,18,12,7,0.02,0.01,0.3,0.003
201907312200,광진구,22,16,17,0.015,0.018,0.7,0.005
201907312200,노원구,27,14,14,0.014,0.022,0.3,0.003
201907312200,성동구,19,19,8,0.01,0.028,0.3,0.003
201907312200,중랑구,24,15,14,0.01,0.018,0.3,0.006
201907312200,동대문구,22,18,16,0.019,0.014,0.0,0.004
201907312200,강서구,27,23,18,0.018,0.016,0.2,0.003
201907312200,동작구,30,27,18,0.02,0.014,0.2,0.002
201907312200,영등포구,27,21,0,0.016,0.017,0.4,0.002
201907312200,구로구,18,18,11,0.023,0.013,0.2,0.004
201907312200,금천구,29,25,16,0.008,0.027,0.3,0.003
201907312200,양천구,34,28,18,0.015,0.016,0.2,0.005
201907312200,관악구,25,21,15,0.013,0.023,0.3,0.005
201907312200,강남구,29,25,16,0.017,0.014,0.3,0.005
201907312200,강동구,30,16,15,0.015,0.014,0.3,0.003
201907312200,서초구,21,18,15,0.0,0.016,0.2,0.004
201907312200,송파구,15,14,9,0.023,0.013,0.2,0.002
201907312100,종로구,28,19,19,0.016,0.021,0.3,0.003
201907312100,용산구,24,17,19,0.018,0.021,0.3,0.002
201907312100,중구,32,21,18,0.018,0.02,0.0,0.002
201907312100,은평구,29,21,19,0.015,0.021,0.5,0.004
201907312100,서대문구,25,19,11,0.019,0.013,0.6,0.003
201907312100,마포구,20,17,14,0.022,0.014,0.6,0.004
201907312100,중랑구,23,12,12,0.009,0.023,0.4,0.007
201907312100,동대문구,26,16,17,0.019,0.013,0.0,0.004
201907312100,성동구,18,19,6,0.013,0.027,0.3,0.003
201907312100,노원구,21,11,12,0.005,0.037,0.5,0.003
201907312100,도봉구,18,11,5,0.015,0.017,0.4,0.003
201907312100,성북구,19,17,3,0.016,0.019,0.6,0.004
201907312100,광진구,22,16,11,0.009,0.023,0.7,0.005
201907312100,강북구,38,15,18,0.024,0.015,0.3,0.002
201907312100,금천구,27,24,16,0.013,0.019,0.3,0.003
201907312100,영등포구,26,18,22,0.015,0.018,0.4,0.002
201907312100,강서구,28,21,19,0.021,0.015,0.2,0.003
201907312100,관악구,24,20,15,0.014,0.017,0.3,0.005
201907312100,구로구,24,18,11,0.026,0.01,0.2,0.004
201907312100,동작구,29,27,18,0.024,0.01,0.2,0.002
201907312100,양천구,33,26,17,0.015,0.017,0.2,0.003
201907312100,강남구,31,24,14,0.019,0.012,0.3,0.005
201907312100,서초구,22,17,16,0.0,0.013,0.2,0.004
201907312100,송파구,16,14,11,0.022,0.013,0.2,0.002
201907312100,강동구,20,13,15,0.011,0.027,0.4,0.003
201907312000,중구,33,19,18,0.007,0.033,0.0,0.002
201907312000,용산구,27,16,21,0.006,0.035,0.4,0.002
201907312000,종로구,31,17,20,0.005,0.037,0.5,0.003
201907312000,마포구,26,17,15,0.014,0.021,0.7,0.004
201907312000,은평구,27,20,22,0.006,0.033,0.6,0.004
201907312000,서대문구,24,16,9,0.01,0.023,0.7,0.004
201907312000,성동구,32,21,8,0.002,0.051,0.6,0.004
201907312000,동대문구,25,14,18,0.009,0.025,0.0,0.003
201907312000,성북구,21,17,3,0.009,0.029,0.7,0.005
201907312000,강북구,19,10,9,0.015,0.024,0.4,0.003
201907312000,광진구,14,14,12,0.002,0.037,0.8,0.005
201907312000,도봉구,11,9,4,0.008,0.029,0.6,0.003
201907312000,노원구,12,9,7,0.007,0.04,0.5,0.003
201907312000,중랑구,17,10,10,0.006,0.026,0.4,0.007
201907312000,관악구,33,20,17,0.014,0.022,0.3,0.004
201907312000,금천구,30,23,16,0.008,0.026,0.3,0.004
201907312000,영등포구,0,15,0,0.012,0.024,0.5,0.001
201907312000,구로구,24,17,9,0.022,0.016,0.2,0.004
201907312000,동작구,32,26,19,0.02,0.014,0.2,0.002
201907312000,강서구,27,19,18,0.021,0.014,0.2,0.003
201907312000,양천구,37,25,19,0.013,0.019,0.2,0.003
201907312000,강동구,14,14,8,0.004,0.044,0.5,0.003
201907312000,강남구,27,23,14,0.012,0.021,0.4,0.004
201907312000,서초구,18,16,16,0.024,0.019,0.2,0.004
201907312000,송파구,17,14,11,0.022,0.013,0.2,0.002
201907311900,중구,24,17,12,0.01,0.037,0.0,0.002
201907311900,용산구,22,15,17,0.007,0.043,0.5,0.003
201907311900,종로구,23,15,16,0.008,0.039,0.6,0.003
201907311900,마포구,21,16,16,0.014,0.029,0.8,0.004
201907311900,서대문구,26,15,12,0.013,0.021,0.7,0.003
201907311900,은평구,29,18,18,0.013,0.028,0.5,0.004
201907311900,성북구,14,16,1,0.014,0.027,0.7,0.004
201907311900,성동구,27,15,7,0.006,0.044,0.5,0.004
201907311900,도봉구,9,10,3,0.016,0.026,0.6,0.003
201907311900,노원구,10,10,3,0.013,0.035,0.4,0.004
201907311900,중랑구,9,9,6,0.01,0.026,0.2,0.006
201907311900,동대문구,19,12,12,0.01,0.031,0.0,0.004
201907311900,강북구,12,10,2,0.02,0.026,0.4,0.002
201907311900,광진구,12,14,13,0.004,0.038,0.8,0.005
201907311900,영등포구,0,15,0,0.009,0.039,0.6,0.001
201907311900,동작구,36,25,0,0.014,0.021,0.2,0.002
201907311900,관악구,22,17,8,0.015,0.019,0.2,0.005
201907311900,금천구,32,22,18,0.01,0.023,0.3,0.003
201907311900,강서구,31,18,17,0.017,0.021,0.3,0.005
201907311900,양천구,32,24,19,0.014,0.025,0.2,0.003
201907311900,구로구,18,14,12,0.022,0.015,0.2,0.004
