date,region,Fine dust 1 hour (ã/ã¥),Fine dust 24 hour (ã/ã¥),Ultra fine dust(ã/ã¥),Ozon(ppm),NO2(ppm),CO(ppm),SO2(ppm)
201903312300,종로구,21,29,14,0.033,0.021,0.4,0.002
201903312300,용산구,16,26,12,0.028,0.024,0.4,0.002
201903312300,중구,23,30,14,0.039,0.021,0.4,0.003
201903312300,은평구,28,34,15,0.036,0.019,0.7,0.004
201903312300,서대문구,25,33,18,0.027,0.024,1.0,0.004
201903312300,마포구,31,35,15,0.024,0.023,0.4,0.004
201903312300,광진구,23,30,13,0.033,0.017,0.5,0.004
201903312300,노원구,28,34,19,0.036,0.012,0.4,0.004
201903312300,중랑구,21,27,15,0.043,0.016,0.2,0.005
201903312300,도봉구,16,27,11,0.044,0.007,0.3,0.004
201903312300,성북구,19,32,11,0.036,0.015,0.6,0.003
201903312300,성동구,35,38,17,0.032,0.024,0.4,0.002
201903312300,강북구,30,35,17,0.045,0.008,0.4,0.003
201903312300,동대문구,20,26,11,0.038,0.019,0.4,0.003
201903312300,동작구,24,34,17,0.037,0.021,0.3,0.002
201903312300,영등포구,24,36,17,0.025,0.024,0.2,0.004
201903312300,강서구,22,33,10,0.034,0.023,0.5,0.007
201903312300,관악구,24,33,0,0.042,0.021,0.3,0.005
201903312300,양천구,24,34,15,0.03,0.027,0.4,0.004
201903312300,구로구,21,29,10,0.037,0.014,0.2,0.005
201903312300,금천구,26,34,18,0.032,0.025,0.4,0.004
201903312300,강남구,19,28,15,0.026,0.019,0.3,0.006
201903312300,서초구,22,33,12,0.033,0.021,0.2,0.004
201903312300,강동구,25,34,16,0.037,0.018,0.4,0.004
201903312300,송파구,26,33,12,0.025,0.029,0.4,0.002
201903312200,용산구,14,28,9,0.034,0.018,0.3,0.003
201903312200,중구,19,31,10,0.044,0.016,0.4,0.002
201903312200,종로구,17,31,10,0.041,0.013,0.4,0.003
201903312200,서대문구,27,34,12,0.035,0.016,0.8,0.003
201903312200,마포구,25,37,15,0.029,0.019,0.4,0.004
201903312200,은평구,26,36,11,0.039,0.018,0.7,0.004
201903312200,성북구,21,35,12,0.04,0.011,0.5,0.003
201903312200,강북구,24,36,11,0.047,0.008,0.3,0.002
201903312200,도봉구,19,29,7,0.045,0.006,0.3,0.004
201903312200,광진구,20,32,10,0.036,0.014,0.5,0.004
201903312200,노원구,24,35,16,0.037,0.012,0.4,0.003
201903312200,성동구,29,38,10,0.044,0.012,0.3,0.002
201903312200,중랑구,17,28,13,0.048,0.013,0.2,0.005
201903312200,동대문구,14,27,9,0.044,0.013,0.3,0.003
201903312200,강서구,20,36,12,0.03,0.023,0.4,0.006
201903312200,동작구,21,37,12,0.037,0.019,0.3,0.002
201903312200,영등포구,25,39,14,0.023,0.027,0.3,0.004
201903312200,구로구,15,31,4,0.035,0.015,0.2,0.005
201903312200,금천구,20,36,12,0.031,0.025,0.3,0.004
201903312200,양천구,22,37,11,0.028,0.027,0.4,0.004
201903312200,관악구,25,35,14,0.043,0.016,0.2,0.005
201903312200,강남구,16,30,11,0.028,0.018,0.3,0.006
201903312200,강동구,21,35,12,0.04,0.014,0.3,0.003
201903312200,서초구,17,35,10,0.036,0.016,0.2,0.003
201903312200,송파구,23,34,12,0.03,0.025,0.4,0.002
201903312100,종로구,20,33,8,0.04,0.011,0.3,0.003
201903312100,용산구,17,30,9,0.035,0.015,0.3,0.002
201903312100,중구,17,33,11,0.043,0.014,0.3,0.002
201903312100,은평구,23,37,11,0.041,0.013,0.6,0.004
201903312100,서대문구,21,35,10,0.035,0.014,0.7,0.003
201903312100,마포구,22,39,9,0.034,0.013,0.3,0.004
201903312100,중랑구,14,29,9,0.045,0.013,0.2,0.005
201903312100,동대문구,11,29,7,0.041,0.012,0.3,0.003
201903312100,성동구,20,40,9,0.04,0.014,0.3,0.002
201903312100,노원구,17,36,13,0.033,0.013,0.3,0.003
201903312100,도봉구,13,32,7,0.044,0.005,0.3,0.004
201903312100,성북구,15,38,9,0.038,0.01,0.5,0.003
