,precision,recall,f1-score,support
0,0.9565677966101694,0.9505263157894737,0.9535374868004224,1900.0
1,0.9832285115303984,0.9873684210526316,0.9852941176470589,1900.0
2,0.9212640599892876,0.9052631578947369,0.9131935226971064,1900.0
3,0.9112028910686629,0.9289473684210526,0.9199895751889497,1900.0
accuracy,0.9430263157894737,0.9430263157894737,0.9430263157894737,0.9430263157894737
macro avg,0.9430658147996296,0.9430263157894737,0.9430036755833844,7600.0
weighted avg,0.9430658147996295,0.9430263157894737,0.9430036755833843,7600.0
